,title,date,content
32,"2021년 넷플릭스 1월 신작 영화/드라마 추천 ""욕설부터 감동까지 모두 모아놓은 나름 종합선물세트?""",2020.12.31.,"2020년 넷플릭스 베스트 영화 추천 1탄 자세히 보기 ◆ 천만 아니고 1억명이 본 넷플릭스 최다 시청 미드 자세히 보기 ◆ 넷플릭스 12월 신작 영화, 드라마 자세히 보기 클릭해서 드라마덕후 '아톰비트'와 팬하기..."
33,한라인 추천! 넷플릭스 ‘띵작’ 리스트,2021.03.12.,"한라인들의 넷플릭스 추천작 소개와 깐깐한 작품평을 들어봅시다. 한라인이 엄선한 추천작 TOP 5 1위 킹덤 시즌 1, 2 전 세계인을 사로잡은 K-좀비 신드롬 조선 시대 좀비와의 사투를 그린 넷플릭스 오리지널 드라마로 전..."
34,넷플릭스 영화 드라마 추천 2021년 2월!! 3가지 드라마 추천,2021.02.15.,넷플릭스 영화 드라마 추천 2021년 2월 넷플릭스 홀릭의 추천 드라마 3개 저는 2019년 어느 날부터 넷플릭스... 2가 나오면 저는 꼭 볼거예요~! 아직 안 보신 분들은 나중에라도 보시기를. 오늘 넷플릭스 추천 드라마 3가지 끄읏~!!
35,넷플릭스 추천시리즈 3탄!,2020.11.13.,"봤던 넷플릭스 추천! 미드부터 영화까지- 그렇지만 유명한 작품 위주로 구성되어 있다는 것 ;) 에밀리, 파리에 가다 연출 출연 릴리 콜린스, 필립핀 르로이-뷔리우, 애슐리 박 방송 2020, 넷플릭스 1. 에밀리, 파리에 가다..."
36,넷플릭스 한국 드라마 추천 : 볼까말까 고민인! 인기 드라마 영화 순위 (응답하라 시리즈..외의 엮인...,5일 전,넷플릭스 드라마 추천 : 볼까말까 고민인 인기 드라마 영화 순위 #응답하라1997 #응답하라1994 #응답하라1988 #응답하라 #응답하라시리즈 11탄으로 돌아온 볼까말까 시리즈 입니다~ ↓ ↓ ↓ ↓ ↓ ↓ ↓ ↓ ↓ 10탄 한국...
37,넷플릭스 드라마 추천 Best 7,2021.06.28.,그 편견을 없애는 건 제 몫이니까 앞으로도 더 넓은 세상에서 더 많은 것들을 보면서 편견없이 살아가고 싶네요. #넷플릭스드라마추천 #넷플릭스드라마 #넷플드라마추천
38,넷플릭스 추천 좀..,3일 전,요즘 '블랙 리스트'를 보고 있는데요. 다음엔 뭘 볼지.. 혹시나 시청하신 넷플릭스 프로그램 중 재미있었던 거 있으면 추천 좀 해주세요.^^
39,넷플릭스 드라마 추천 웰메이드 작품 TOP10,2021.02.06.,오늘은 넷플릭스 드라마를 추천해보려 합니다! 저는 영화뿐 아니라 드라마도 많이 보는데요 제 개인적인 취향이 담긴 드라마를 추천해보려해요 지난번 드라마 추천에 이어 2탄이 되겠네요 ㅎㅎ 1. 다크 다크 연출...
40,"넷플릭스 드라마 추천 /로맨틱코미디, 감동, 따뜻, 사랑, 잔잔한 종류",2020.12.28.,"ㅋㅋ 저처럼 공포물 싫어하시는 분들을 위한 넷플릭스 드라마 추천!! 스포 있어요!! 사진출처: 모두 각 드라마 속 이미지를 활용하였습니다 1. 눈이 부시게 눈이 부시게 연출 김석윤 출연 김혜자, 한지민, 남주혁, 손호준..."
41,한국 넷플릭스 드라마 순위 추천 (2021. 6. 7 기준),2021.06.08.,한국 넷플릭스 드라마 순위 추천 (2021. 6. 7 기준) 안녕하세요? 김작입니다. 요즘 한국 넷플릭스에서 인기있는 드라마는 어떤게 있을까요? 출처: 플릭스 패트롤 순위 전문사이트 플릭스 패트롤(https://flixpatrol.com)에 나온 TV...
42,상반기 결산 2021년 넷플릭스 드라마 추천 넷플릭스 순위,2021.07.02.,"매월 진행해 오던 2021년 넷플릭스 드라마 추천 순위를 상반기 결산으로 준비했습니다. 2021년 넷플릭스에서 야심 차게 준비한 <주피터스 레거시>가 고구마 먹은 전개로 시즌 내내 간만 보더니 1시즌 이후 캔슬되었고, 19금..."
43,"넷플릭스 중국드라마 추천, 안 봤다면 당장 봐야 할 Best3",2020.12.18.,"[드라마] 넷플릭스 중국드라마 추천, 안 봤다면 당장 봐야 할 Best3 글/사진 : 모반(blog.naver.com/birthmark7) 좋아하기는 하지만 쉽게 시도하기에는 현생이 걱정되는 대륙의 작품들. 기본적으로 5, 60부가 넘어가고 더 긴 건..."
44,[넷플릭스 좀비드라마] 집콕 스트레스 날리는 넷플릭스 드라마 추천!,2021.01.27.,이런 분들 많으실 거예요 :) (민간인 사찰 아닙니다!) 그래서 오늘은 집콕하며 보기 좋은 넷플릭스 드라마 추천을 해볼 건데요! 그중에서도~ 집콕 스트레스 싹 날릴 수 있는 넷플릭스 좀비드라마를 추천해보려고 합니다!! 1....
45,욜리 픽✨밤샘 각 #넷플릭스 미드 한드 영화 추천_1탄,2021.05.12.,"욜리 픽✨밤샘 각 #넷플릭스 미드 한드 영화 추천_1탄 은 여기까지예요,,♥︎ 제가 본 것들 중에 진짜 재미난걸로 추리고 추린 !!!! #넷플릭스추천리스트 예요,,◡̈ 물론,,,, 영화/드라마/애니메이션 등 여러 장르들 중..."
46,넷플릭스 미드추천,2021.07.05.,매니 ㅜㅠ #미드추천 #넷플릭스추천 #굿걸스 #goodgrils #netflix #매니몬타나 #mannonta 그레이스 앤 프랭키(Grace... 넷플릭스 캡쳐가 금지되서 본 화면 캡쳐! 그레이스는 너무 고운 할머니고 프랭키는 너무 귀여운 할머니다ㅎ...
47,2021년 4월 넷플릭스 최신 추천 영화 드라마 & 5월 기대작,2021.04.30.,4월에 재밌게 시청한 넷플릭스 최신 추천작 & 5월 기대작 한국 예능 <강철부대> 매주 수요일 새로운 에피소드... 여러분의 재미있는 넷플릭스 추천작도 공유해주세요 :) #넷플릭스최신작 #넷플릭스추천 #더서펀트...
48,"걸스토크 여자취향저격 넷플릭스 드라마 추천 (브리저튼,퀸스갬빗,러브앤아나키)",2021.01.06.,"퀸스갬빗 넷플릭스 드라마 추천으로 많이 나오는 퀸스갬빗! 일단 저는 밤새우며 정주행 했어요. 체스를 하나도 모르는 제가 봐도 심하게 재미있는 드라마에요. 패션, 스토리가 우선 취향 저격이고 여자 주인공의 매력과..."
49,최근 보고있는 넷플릭스 추천,2021.08.20.,작년에 오랫동안 다닌 회사 그만두고 남들 잘본다는 넷플릭스 가입해서 가끔 보고있어요 최근엔 딥워터라는 수사극 보고있는데 괜찮아서 추천해보아요 그전에 봤던거는 라인오브듀티 / 믿을수없는 이야기 / 롤라앤첼시 도...
50,"넷플릭스 드라마 추천, 각각 장르적인 재미를 지니고 있는 넷플릭스 오리지널 시리즈 7개",2020.11.24.,"각각 장르적인 재미가 있는 넷플릭스 드라마 추천 7개 집에서 보내는 시간이 점점 길어지는 상황, 이전 포스팅에서 밝힌 것처럼 집에서 영화 혹은 드라마 등을 즐기고자 추천해달라는 온라인 & 오프라인 지인들이 많아져..."
51,방학에 정주행하기 좋은 [넷플릭스 드라마] 추천!,2021.01.05.,"오늘은 방학을 맞아 정주행하기 좋은 넷플릭스 드라마를 추천해드리려고 해요~ 1. 경이로운 소문 넷플릭스 어플 첫 번째는 현재 OCN에서 방영 중인 드라마,경이로운 소문인데요! 현재 방영 중인 드라마를 넷플릭스로 바로..."
52,넷플릭스 일드 추천 : 집순이의 정주행 리스트(스포X),2021.01.08.,분들에게 추천 넷플릭스 썸넬보고 개무서울까봐 안눌러보다가 한번 봤는데 너무재밌어서 밤새 본 카케구루이! 원작인 만화도 넷플에 함께 있는데 저는 만화보다는 실사가 더 낫더라구요;; 병맛코드를 좋아해서 이런...
53,넷플릭스 추천 한국드라마 BEST 5 / 2020년에 본 드라마,2020.09.20.,"내가 뽑은 올해의 넷플릭스 한드 BEST 5 올해는 한국 드라마를 많이 본 해이다. 그 전에는 1년에 한 편도 채... 강력 추천한다. 비밀의 숲 평점 9.0 (작품 9, 재미 9) 비밀의 숲 연출 안길호 출연 조승우, 배두나, 이준혁..."
54,넷플릭스 드라마 추천 : 18어게인 :: 뻔하지만 가끔은 환기가 필요한 '가족의 소중함'을 다룬 드라마,2021.08.23.,"넷플릭스 드라마 추천 : 18어게인 :: 뻔하지만 가끔은 환기가 필요한 '가족의 소중함'을 다룬 드라마 #리뷰 #드라마추천 #오리지널티켓 #넷플릭스드라마 18 어게인 연출 하병훈 출연 김하늘, 윤상현, 이도현, 최보민, 한소은..."
55,넷플릭스 드라마 추천 한국위주!,2020.12.08.,":) 넷플릭스 드라마 추천 "" 모범형사 "" 출연 : 손현주,장승조,이엘리야,오정세 장르 : 범죄 총 16부작으로 진실에 다가가려는 자와 은폐하려는 자들 간의 대결을 담은 리얼한 형사들의 세계를 그린 드라마입니다. 범죄,수사..."
56,넷플릭스드라마추천! 인기 드라마 정주행하기,2021.01.15.,요즘 집에 있는 시간이 부쩍 늘어난 것 같습니다:) 오늘은 집에서 보기 좋은 넷플릭스드라마추천 해드리려고 하는데요 드라마 중에서도 무엇을 봐야 하면 좋을지 요즘 인기 있는 넷플릭스 드라마를 소개해드릴게요:D...
57,[넷플릭스/미드추천] 내 맘대로 매기는 넷플릭스 미드 별점 ⭐,2020.12.30.,"넷플릭스 미드 추천 글에서 거의 항상 봤던 드라마인 것 같은데, 아직까지 주변에서 불호를 본 적이 없어요! 스토리도 재미있고, 캐릭터도 매력 있고, 가벼운 마음으로 재미있게 볼 수 있는 드라마에요. 단점을 꼽기..."
58,넷플릭스 추천해주세요^^,2021.08.22.,애기자요~~~~으하하하 이보다좋을수가요ㅎ 영화를좋아하는데 요즘넷플릭스에파졌어요 왠만한건. 거의다봤어요~~~~ 너무밋밋한 드라마말고 추천해주세요^^예를들어 미생같은 일상적얘기이런거 말구요 잘모르지만...
59,[넷플릭스 추천] 내 입맛대로 추천하는 넷플릭스 드라마 (스포X),2021.08.16.,한동안 넷플릭스 키면 광고가 떠서 몇 번이고 예고편을 봤었는데 일단 넷플릭스에서 추천해 주는 건 괜히 보기 싫고 예고편이 확 땡기지 않아서 무시하고 안 봤다가 최근 유튜브 넷플릭스 추천 영상에서 보니 확 땡겨서...
60,넷플릭스 추천왔어요...?,2021.05.29.,#오늘일기 주제는 #넷플릭스추천 캬 어쩜이렇게 하루하루 일기가 알토란 같아요? 제 취향은 나름 대중적이라... 그럼 넷플릭스에서 메뉴화면만 보고계시지 말라고... 볼거 추천추천! 1. 무브투헤븐 이제훈 나오는 드라마라...
61,넷플릭스 드라마 추천 한국 드라마 25개 정리!,2021.08.17.,"집순이들에게 추천하고 싶은 넷플릭스 드라마 추천 한국 버전 25개를 들고 왔습니다. 지금 바로 포스팅 보러 가실까요? GO~ GO~ 1. 결혼작사 이혼작곡 결혼작사 이혼작곡 같은 경우, 현재 시즌 2까지 나와있고, 시즌 3은 아직..."
62,넷플릭스 추천 드라마,2021.07.21.,(내가 추천해줬더니 울 동생도 이틀만에 다 봄 ㅋㅋㅋㅋㅋㅋㅋ) - 시즌1은 대부분 다 재밌다는 평이었는데... 스토리는 꼭 직접 보시길 #일상블로그 #일상이야기 #일상 #넷플릭스 #넷플릭스추천드라마 #넷플릭스드라마...
63,살색의 감독 무라니시 시즌2 넷플릭스 성인 추천 드라마,2021.07.28.,"여러곳에서 19 넷플릭스 추천 드라마 여러개 중 하나인 살색의 감독 무라니시 시즌1, 시즌2 실제 무라니시... 넷플릭스 19금, 29금 드라마 추천! 유튜브 퍼왔어요~ 19금 추천 드라마 1.본딩 2.투마더스 3.센스8 4.아웃렌더 5.더..."
64,[넷플릭스 추천]이 드라마 안본사람 없게 해주세요!! 넷플릭스 정주행 추천작,2021.06.14.,이미지 출처: 넷플릭스 자존감이 떨어졌을 때 뭔가 예전의 내모습이 그리워 질 때? 인생이 잘 안풀리는 것... 이작품에는 개취 저격하는 배우님이 없어서 봐도 지나치고 볼생각이 없었는데 친구가 추천해줘서 본 드라마...
65,"쉬는 날에 넷플릭스 시리즈, 드라마, 예능 추천",5일 전,"쉬는 날에 넷플릭스 시리즈, 드라마, 예능 추천 넷플릭스 이용자분들을 위해 시리즈&드라마&예능을 추천드릴께요!! 1. 브리저튼 1800년대 런던, 사교계에 첫발을 내딘 브리저튼 가문의 맏딸인 다프네가 최고의 바람둥이..."
66,넷플릭스 덕후의 꼭 봐야하는 추천드라마 TOP10,2021.03.07.,안녕하세요 하이입니다:-) 오늘은 저의 인생의 동반자라고 할 수 있는 넷플릭스 드라마 몇가지를 추천드리려... 바라며ㅎㅎ #넷플릭스 #넷플릭스추천 #왓챠 #넷플릭스드라마 #오렌지이즈더뉴블랙 #웬트워스 #엘리트들...
67,"넷플릭스 한드 추천, 가끔 미드가 물릴 때 한드로 쉬어 가십쇼",2021.02.03.,#넷플릭스추천 #한드추천 #넷플릭스한드 #넷플릭스한국드라마 #한국드라마추천 #로맨스코미디추천 #런온 #JTBC드라마 #좋아하면울리는 #송강 #경이로운소문 #넷플릭스오리지널 #보건교사안은영 #멜로가체질
68,넷플릭스 추천> 이브의 넷플릭스 시리즈 TOP5(외국/한국),2021.05.15.,"오늘은 이브처럼 넷플릭스 고르다 고르다 지친 분들께 이브가 진짜 재밌게 봤던 드라마들 추천해드렸어요. 유명한 작품들이라 보셨을수도 있지만, 안 보셨다면 주말동안 보시면 어떨까요? 주말 즐겁게 보내세요!"
69,[넷플릭스] 넷플릭스 추천 작품 4가지,2021.04.06.,"방송 2011, 영국 Channel 4 -종이의 집 종이의 집 연출 미등록 출연 우슬라 코르베로, 알바로 모르테, 페드로 알론소 방송 2017, 스페인 Antena 3 #넷플릭스 #넷플릭스추천 #넷플릭스추천드라마 #드라마추천 #넷플릭스추천작품"
70,"넷플릭스, 왓챠 드라마 영화 추천 ( 하이틴, 잔잔한, 일상, 공부자극, 아기자기한 )",2021.06.17.,ᙏ̤̫͚ #넷플릭스 #왓챠 #넷플릭스추천 #왓챠추천 #넷플릭스하이틴 #왓챠하이틴 #넷플릭스성장영화 #왓챠성장영화 #잡지사영화 #에디터드라마 #잡지사드라마 #공부자극드라마 #공부자극영화 #여행영화 #잔잔한드라마...
71,넷플릭스 추천(다큐/리얼리티쇼/드라마),2021.03.23.,"공부하기 싫어서 갑자기 쓰는 넷플릭스 추천 1다큐 2리얼리티쇼 2드라마이고, 예전엔 드라마만 보다가 요새는... 풍요속의 빈곤이라는 넷플릭스의 명성에 걸맞게 취향에 맞는 컨텐츠를 찾기가 참 힘들다 ..... 오래전에 본..."
72,"최근에 재밌게 봤던 넷플릭스 영상, 넷플릭스 꿀잼 추천",2021.02.05.,"안녕하세요 오늘은 넷플릭스 추천 글을 써보려고 해요 요즘 코로나 시국이고, 또 방학 기간이라 어디 나가지 않고 집에서 넷플릭스 보면서 지내는 날이 많아지다 보니 넷플릭스를 섭렵하게 되더라고요 ㅎ 그래서 제가..."
73,넷플릭스 웨 않봐? 추천3탄,2021.04.15.,아크엔젤 추천이요 5) 나르코스 워낙 유명하대서 봤는데 ㅇㅁㅇ 시즌1은 지ㅣ이리린짜 재밌다 속도감 대박임... 디스토피아 소설 좋아하면 재밌을거당ㅎㅁㅎ 결말때문에 빡쳐서 얘도 시즌1만 봄 #넷플릭스 #넷플릭스추천
74,[넷플릭스] 넷플릭스 추천 영화/드라마,2021.02.19.,넷플릭스 알차게 사용하세요~ #넷플릭스 #넷플릭스추천 #영화 #영화추천 #중드 #미드 #한드 #겨우서른 #미스터션샤인 #승리호 #스위트홈 #멜로가체질 #나의아저씨 #도시남녀의사랑법
75,넷플릭스 드라마 추천|행복회로 돌리는 중,2021.06.27.,새벽에 잠이 저렇게 안왔나..? 내일부턴 성실한 삶을 살거라 ㅎㅎ 후후 기대해주시죠...... !! 그럼 이만! 즐드(즐거운 드라마 시청하세요) #넷플 #넷플릭스 #드라마추천 #한국드라마추천 #넷플릭스드라마추천
76,"[넷플릭스 미드 추천] 재미있고 흡입력 좋은 웰메이드 미드 추천2(여성 주인공, 메디컬물, 코미디물, 의학...",2021.07.21.,#넷플릭스미드추천 #넷플릭스드라마추천 #흡입력있는넷플릭스 1. 바이오헤커스 (독일) #바이오해커스 #넷플릭스독일드라마추천 #독드추천 이 포스팅의 주 목적인 바이오헤커스! 이번에 새로운 시즌인 시즌2가 나와서 총...
77,넷플릭스 드라마 추천 내가 본 넷플릭스 드라마 추천 - 1,2021.07.02.,#넷플릭스 #넷플릭스드라마 #넷플릭스드라마추천 1. 김씨네편의점 캐나다에서 만든 작품. 시즌 5 완결.... #더크라운 #넷플릭스더크라운 번외. 윈저 이야기. 이건 넷플릭스 추천 다큐편에 넣으려고 했는데 더 크라운이랑 같이...
